id_solicitacao,data_solicitacao,idade,renda_mensal,anos_emprego,score_credito,valor_emprestimo,taxa_juros_anual,prazo_meses,finalidade,regiao,situacao_moradia,divida_existente,contas_abertas,atrasos_12m,aprovado,inadimplente
1,2024-05-10,27.0,11645.86,4,588.0,26966.78,13.72,48,Reforma,Sudeste,Hipotecada,50192.76,7,0,1,0
2,2024-11-10,18.0,25687.18,3,770.0,58867.1,18.06,36,Reforma,Sudeste,Hipotecada,39109.31,6,1,1,0
3,2022-05-02,40.0,40118.55,3,772.0,7672.21,16.75,60,Reforma,Sul,Própria,30470.34,3,0,1,0
4,2023-04-12,20.0,20571.84,14,569.0,17997.48,11.91,36,Saúde,Sudeste,Própria,26734.8,8,1,0,0
5,2022-11-27,28.0,5620.76,13,,34631.17,10.07,48,Consolidação de dívidas,Sudeste,Alugada,6644.98,5,1,1,0
6,2022-03-29,31.0,18185.99,2,488.0,23737.62,22.8,36,Cartão de crédito,Sudeste,Própria,33937.25,8,0,0,0
7,2024-05-21,23.0,26223.04,2,701.0,21585.48,4.15,36,Reforma,Sudeste,Alugada,29301.06,5,1,1,0
8,2022-05-11,31.0,4760.13,4,609.0,65799.34,21.03,48,Consolidação de dívidas,Sudeste,Alugada,44536.33,6,2,1,0
9,2024-02-09,23.0,21344.68,0,,42596.76,11.41,48,Viagem,Sudeste,Outros,29864.7,4,2,1,0
10,2022-12-10,37.0,12069.53,1,612.0,45653.31,29.37,24,Automóvel,Sudeste,Alugada,67944.93,9,1,1,0
11,2024-03-16,24.0,25789.41,1,537.0,17590.26,5.86,48,Educação,Sudeste,Alugada,46474.03,7,0,0,0
12,2023-01-21,36.0,,1,664.0,19826.16,5.38,36,Educação,Nordeste,Alugada,0.0,4,2,1,0
13,2024-08-13,46.0,15860.91,5,740.0,33538.62,15.44,60,Educação,Sudeste,Própria,29311.92,4,0,1,0
14,2022-10-04,43.0,15994.44,2,648.0,34134.89,24.09,48,Educação,Sul,Hipotecada,47909.51,5,0,1,0
15,2023-04-05,35.0,19092.59,0,578.0,74418.49,31.05,24,Educação,Sudeste,Própria,13937.56,9,0,0,0
16,2022-01-22,27.0,16706.48,10,639.0,32993.93,23.92,36,Educação,Sudeste,Própria,13393.89,5,3,1,0
17,2022-09-10,37.0,8522.38,10,685.0,66997.41,18.87,36,Saúde,Centro-Oeste,Própria,55283.81,9,2,1,0
18,2024-01-18,,11712.8,9,635.0,38478.97,12.17,36,Cartão de crédito,Sul,Outros,7336.6,7,2,1,0
19,2024-05-06,37.0,13315.84,2,573.0,23717.81,13.41,48,Automóvel,Sudeste,Própria,35660.88,5,0,0,0
20,2023-04-20,20.0,24715.33,0,,17542.95,14.04,36,Consolidação de dívidas,Sudeste,Alugada,23122.87,6,1,1,0
21,2024-12-18,43.0,17020.31,0,544.0,41862.29,15.56,36,Cartão de crédito,Nordeste,Alugada,37555.09,6,0,0,0
22,2023-05-26,36.0,9616.2,1,809.0,21977.35,16.48,36,Automóvel,Centro-Oeste,Própria,14641.81,8,3,1,0
23,2023-12-01,55.0,8435.06,1,643.0,25275.02,19.2,48,Reforma,Nordeste,Alugada,13019.15,4,1,1,0
24,2024-09-02,47.0,18534.21,10,712.0,17089.26,14.5,48,Viagem,Nordeste,Alugada,44991.67,7,0,1,0
25,2022-07-09,41.0,10536.37,21,665.0,26958.96,18.97,48,Viagem,Sul,Alugada,53655.65,6,2,1,0
26,2024-08-15,34.0,19469.36,8,,37290.87,20.27,60,Consolidação de dívidas,Sudeste,Própria,21787.45,6,0,1,1
27,2023-11-18,29.0,12992.23,6,743.0,21535.41,11.42,36,Viagem,Sudeste,Própria,32855.22,4,1,1,0
28,2024-08-15,44.0,27723.98,4,693.0,18179.93,10.49,36,Automóvel,Sul,Alugada,40248.09,7,0,1,0
29,2023-07-17,33.0,9241.8,7,643.0,27911.71,24.58,60,Saúde,Sudeste,Alugada,28553.15,5,1,1,0
